,name,error,time_taken,rank,recompression_rank,run,left_rank,right_rank
705,STTA+3,0.0012779254304978692,0.04417533101513982,,10.0,15.0,13.0,16.0
706,STTA+3,0.0014998848036529109,0.03953374782577157,,10.0,16.0,13.0,16.0
707,STTA+3,0.0012651405013991079,0.04212554218247533,,10.0,17.0,13.0,16.0
708,STTA+3,0.00137261118821748,0.03679393790662289,,10.0,18.0,13.0,16.0
709,STTA+3,0.0015606027632100938,0.036058863159269094,,10.0,19.0,13.0,16.0
710,STTA+3,0.001613199906032733,0.0414514453150332,,10.0,20.0,13.0,16.0
711,STTA+3,0.001274892939645779,0.03672416927292943,,10.0,21.0,13.0,16.0
712,STTA+3,0.0015642245438629565,0.03641619207337499,,10.0,22.0,13.0,16.0
713,STTA+3,0.0010929044498229495,0.040247033815830946,,10.0,23.0,13.0,16.0
714,STTA+3,0.0011314529965936052,0.04242654563859105,,10.0,24.0,13.0,16.0
715,STTA+3,0.0013255723953146668,0.037646601907908916,,10.0,25.0,13.0,16.0
716,STTA+3,0.0017654684627107524,0.03658920805901289,,10.0,26.0,13.0,16.0
717,STTA+3,0.0014224878881092008,0.039772529155015945,,10.0,27.0,13.0,16.0
718,STTA+3,0.0010451783395413203,0.0458783907815814,,10.0,28.0,13.0,16.0
719,STTA+3,0.0016118873128995051,0.03640627907589078,,10.0,29.0,13.0,16.0
720,STTA+3,0.0012763535341941267,0.04365247208625078,,10.0,0.0,14.0,17.0
721,STTA+3,0.0014414710081404954,0.042672621086239815,,10.0,1.0,14.0,17.0
722,STTA+3,0.0013514084021413336,0.041700251400470734,,10.0,2.0,14.0,17.0
723,STTA+3,0.0011880279646789946,0.039220015052706,,10.0,3.0,14.0,17.0
724,STTA+3,0.0012059890773835514,0.04167381301522255,,10.0,4.0,14.0,17.0
725,STTA+3,0.0014325425501938401,0.036892910953611135,,10.0,5.0,14.0,17.0
726,STTA+3,0.0010376484662341682,0.04530920600518584,,10.0,6.0,14.0,17.0
727,STTA+3,0.0011678639526036588,0.0394006110727787,,10.0,7.0,14.0,17.0
728,STTA+3,0.002040499923642337,0.039455515798181295,,10.0,8.0,14.0,17.0
