,Unnamed: 0.1,Unnamed: 0,name,error,time_taken,rounding_method,rounding_method_final,max_rank,final_round_ranks,run,last_residual,gmres_time,true_error,precond_error,final_round_time
10,10.0,,cookie_2x2,,124.9456960731186,sketch,sketch,60.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,9.098627601922532e-07,86.94678086275235,"[1.32133192e-01 1.51886656e-02 1.96695370e-03 4.74514281e-04
 2.20345511e-04 1.62095865e-04 1.37358346e-04 1.26047426e-04
 1.13229209e-04 1.02579768e-04 2.63321505e-04 1.05843764e-04
 1.03063595e-04 1.02582899e-04 1.01650205e-04 1.02865929e-04
 1.02176911e-04 1.01908903e-04 1.02330976e-04]","[1.63362182e-03 1.67912855e-04 1.71389866e-05 4.03359206e-06
 2.08632879e-06 1.64255711e-06 1.36367521e-06 1.24184529e-06
 1.15152878e-06 1.08836444e-06 2.67322317e-06 1.05256246e-06
 1.05170447e-06 1.04771732e-06 1.05006454e-06 1.04771732e-06
 1.04975188e-06 1.04896982e-06 1.04889159e-06]","[0.08393025 0.09803205 0.26957402 0.19817628 0.25492548 0.23302506
 0.23498348 0.26108819 0.32151173 0.35150154 0.40743261 0.43540494
 0.49166009 0.53939122 0.61519622 0.61078632 0.68547046 0.70283065
 0.78873796]"
11,,,cookie_2x2,,103.89827800309286,sketch,sketch,65.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,6.961853959395665e-07,73.64333102921955,"[7.95853686e-02 1.24938672e-02 2.69104808e-03 6.94807255e-04
 1.64719503e-04 1.07371946e-04 9.36448983e-05 8.13723048e-05
 7.91796482e-05 7.11252106e-05 7.12591914e-05 8.36171903e-05
 7.04996742e-05 6.56440926e-05 6.76648943e-05 6.70493902e-05
 6.60185622e-05 6.69104561e-05 6.68232021e-05]","[1.15751316e-03 1.49052806e-04 2.38273561e-05 6.66631511e-06
 1.44314407e-06 1.04221993e-06 9.49426296e-07 8.16216777e-07
 8.08843759e-07 7.59662039e-07 7.25626561e-07 1.31639681e-06
 7.07415716e-07 6.92526023e-07 6.98543484e-07 7.00420662e-07
 7.01474367e-07 6.98895839e-07 7.01006249e-07]","[0.02789518 0.04185689 0.06552157 0.08899376 0.10249194 0.13784111
 0.20789976 0.23177768 0.21474698 0.27040482 0.42906169 0.39400641
 0.38482337 0.46321125 0.48804074 0.52889715 0.57516852 0.64542197
 0.66335662]"
12,,,cookie_2x2,,112.44227334903553,sketch,sketch,70.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,3.760349527443512e-07,81.97331875818782,"[1.13026325e-01 5.36706104e-03 2.44594388e-03 4.42646619e-04
 1.04259224e-04 7.88159042e-05 5.37981317e-05 4.66203880e-05
 4.98271088e-05 4.31803320e-05 4.64736370e-05 4.14934057e-05
 1.09073068e-04 4.39548485e-06 3.65174106e-05 3.87647744e-05
 3.71924312e-05 4.04996870e-05 4.04128737e-05]","[1.57025593e-03 4.96187235e-05 2.40536629e-05 4.21523682e-06
 8.82405755e-07 7.23247637e-07 5.50144088e-07 5.02754946e-07
 4.79529202e-07 4.32562052e-07 4.37841994e-07 3.90274324e-07
 4.14146635e-07 3.28880935e-07 4.00650251e-07 4.03100734e-07
 3.91324297e-07 3.99213856e-07 4.01673102e-07]","[0.04164863 0.04356981 0.10866916 0.09193951 0.13247848 0.16953376
 0.16980461 0.21570325 0.26335819 0.2768125  0.30886985 0.37164699
 0.42519709 0.4398697  0.5111433  0.52846989 0.56776309 0.62150461
 0.68705165]"
13,,,cookie_2x2,,124.80016546789557,sketch,sketch,75.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,2.4334702864771904e-07,93.80894295289181,"[1.00807835e-01 5.97213893e-03 1.95104214e-03 2.43784375e-04
 8.40419769e-05 5.50786135e-05 4.19310647e-05 3.69463234e-05
 3.60595314e-05 2.55124700e-05 2.65814377e-05 3.41893940e-05
 3.84859934e-05 4.21044474e-03 2.69224246e-05 2.40264888e-05
 2.58438314e-05 2.76377430e-05 2.51780871e-05]","[9.91527433e-04 5.84537917e-05 1.68849791e-05 1.93845994e-06
 7.17894813e-07 4.86663928e-07 4.08359671e-07 3.73732419e-07
 3.32108987e-07 3.07473176e-07 3.05599138e-07 2.71770459e-07
 2.89037960e-07 2.54780002e-05 2.62242456e-07 1.90454890e-07
 2.68122368e-07 2.77152575e-07 2.72373724e-07]","[0.03129088 0.04593151 0.06914624 0.09374927 0.13543592 0.14456303
 0.17375546 0.2297325  0.22312063 0.28031454 0.3526301  0.36341171
 0.40784269 0.45500831 0.50994813 0.55352525 0.58340836 0.67432285
 0.72796668]"
14,,,cookie_2x2,,140.19235960394144,sketch,sketch,80.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,1.295121353941697e-07,108.2844894840382,"[1.19212944e-01 5.66993523e-03 2.90183780e-03 2.22300659e-04
 8.92438506e-05 4.02811329e-05 2.50560991e-05 1.99398927e-05
 2.64914647e-05 2.26899221e-05 1.86930325e-05 1.50811826e-05
 2.77024683e-05 2.62467278e-06 1.90234920e-05 3.05189560e-05
 2.03416082e-05 2.26367210e-05 1.86169253e-05]","[1.14169875e-03 6.90637630e-05 2.91814184e-05 1.81786247e-06
 5.85691788e-07 3.38715117e-07 2.34486797e-07 2.24107662e-07
 2.17416368e-07 1.98473081e-07 1.90454890e-07 1.60526160e-07
 1.58468048e-07 1.44376946e-07 9.00358574e-07 1.57949329e-07
 1.91314736e-07 1.14588487e-07 1.65063115e-07]","[0.03411729 0.07963324 0.07162578 0.0976134  0.11288765 0.14887763
 0.17908226 0.22954607 0.22911644 0.2910686  0.35527096 0.37268465
 0.41851464 0.4952213  0.53452736 0.55532743 0.62307139 0.64801901
 0.7487937 ]"
15,,,cookie_2x2,,151.286426251987,sketch,sketch,85.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,7.258257453458163e-08,118.6830653573852,"[1.41653632e-01 8.30834260e-03 1.85478387e-03 2.50543053e-04
 6.71235950e-05 2.29017317e-05 9.52024031e-06 1.70841955e-05
 8.59920904e-06 1.61067363e-05 1.30778906e-05 8.39683140e-06
 9.43001662e-06 2.73423340e-05 1.45444812e-05 4.14794560e-04
 1.57409494e-05 1.21858778e-05 1.63676022e-05]","[1.09817946e-03 7.57955625e-05 1.68650109e-05 2.28746864e-06
 4.92697182e-07 1.83431080e-07 1.27471645e-07 1.16012001e-07
 1.44944245e-07 1.13147065e-07 1.32521969e-07 1.07187715e-07
 9.05901531e-08 1.24210960e-07 4.43799302e-08 1.20051608e-06
 1.53201850e-07 9.92365407e-08 1.13870057e-07]","[0.035783   0.04984928 0.07333833 0.09934119 0.13956693 0.1862689
 0.20212262 0.2037258  0.24788614 0.29080709 0.32418592 0.37434372
 0.45640818 0.46383472 0.57711293 0.57143368 0.61128404 0.73060558
 0.73427507]"
16,,,cookie_2x2,,158.44054357684217,sketch,sketch,90.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,4.940967455262781e-08,125.39706200850196,"[1.17086222e-01 5.75899781e-03 2.20928628e-03 2.50531023e-04
 7.69170609e-05 2.48448830e-05 1.01275933e-06 2.64440982e-05
 2.04383466e-05 1.07590170e-05 1.60074635e-05 2.67071333e-05
 1.73322783e-05 1.54742602e-05 6.70117965e-06 7.61468478e-05
 2.06122319e-04 6.30361227e-05 8.46951281e-06]","[1.23112169e-03 5.81121478e-05 1.88288403e-05 2.02513067e-06
 5.64864292e-07 1.37982810e-07 1.72359521e-07 1.21539444e-07
 7.47025540e-08 6.14412312e-08 8.10262962e-08 1.31901254e-07
 8.59413652e-08 1.06419334e-07 1.04080162e-07 4.61920959e-08
 2.75462596e-06 1.51043970e-07 1.03288666e-07]","[0.05513458 0.0527973  0.07617057 0.10318031 0.14611267 0.18995367
 0.20240608 0.20751964 0.23475219 0.29789128 0.33385294 0.42158892
 0.42784279 0.47065195 0.53963108 0.5734451  0.62808169 0.6727566
 0.75251776]"
17,,,cookie_2x2,,176.51501464890316,sketch,sketch,95.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,2.7629115518395052e-08,142.37791275628842,"[1.32492148e-01 1.68189901e-02 2.72683286e-03 3.77029148e-04
 4.00887589e-05 2.30720150e-05 1.02984770e-05 1.58154475e-05
 4.92982122e-06 9.84308234e-06 1.70518050e-05 1.27564762e-05
 1.79133601e-05 5.92553064e-06 1.66190786e-05 9.23505745e-06
 7.45788378e-05 2.87515800e-03 3.97128871e-05]","[1.04670570e-03 2.10988253e-04 2.51570209e-05 3.13282178e-06
 2.80683324e-07 1.15302441e-07 1.02491059e-07 1.04865684e-07
 4.96182704e-08 7.89746646e-08 5.12455293e-08 4.05131481e-08
 2.86471217e-08 4.05131481e-08 3.13813496e-08 7.57931599e-08
 1.66547970e-07 9.05755669e-06 2.86471217e-08]","[0.04094099 0.05589072 0.08067664 0.10643403 0.15009527 0.18131675
 0.23320311 0.21299909 0.24200391 0.30257485 0.33498088 0.42609418
 0.47241257 0.51469927 0.58902211 0.63381101 0.63235892 0.70179453
 0.76648033]"
18,,,cookie_2x2,,188.4222229178995,sketch,sketch,100.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,2.036186054308771e-08,153.88293763506226,"[1.28695192e-01 8.02409338e-03 1.72438065e-03 4.07511655e-04
 4.66126116e-05 2.38042058e-05 1.31468464e-05 1.48875957e-05
 2.16762529e-05 2.52367451e-05 1.92527398e-05 6.51163942e-06
 1.30094236e-05 8.52796447e-06 9.42346191e-06 1.92070333e-05
 1.35843938e-05 1.76623007e-05 1.28921635e-04]","[1.24158380e-03 7.52441299e-05 1.74648089e-05 3.04956651e-06
 3.09601043e-07 1.56382851e-07 7.24721225e-08 9.67238154e-08
 7.01708309e-08 5.43540919e-08 4.24905482e-08 1.28113823e-08
 5.43540919e-08 5.87091292e-08 1.81180306e-08 5.87091292e-08
 7.89746646e-08 1.27471645e-07 5.18663240e-07]","[0.0437799  0.05946974 0.08277631 0.10874087 0.1519517  0.16347867
 0.19403606 0.213977   0.26668598 0.30307598 0.33581782 0.38119976
 0.46193339 0.4756176  0.55169801 0.62317492 0.65066891 0.68659577
 0.76347063]"
19,,,cookie_2x2,,48.603403931017965,pairwise,sketch,10.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,7.121556085537074e-13,21.10001537599601,"[0.02137173 0.02137174 0.02137174 0.02137174 0.02137174 0.02137174
 0.02137174 0.02137174 0.02137174 0.02137174 0.02137174 0.02137174
 0.02137174 0.02137174 0.02137174 0.02137174 0.02137174 0.02137174
 0.02137174]","[0.00026291 0.00026291 0.00026291 0.00026291 0.00026291 0.00026291
 0.00026291 0.00026291 0.00026291 0.00026291 0.00026291 0.00026291
 0.00026291 0.00026291 0.00026291 0.00026291 0.00026291 0.00026291
 0.00026291]","[0.03031426 0.0390849  0.04534083 0.06623292 0.08010219 0.1062007
 0.16622652 0.15865046 0.18995142 0.18838468 0.21375557 0.24746086
 0.31996629 0.3551205  0.37819628 0.42236515 0.44735437 0.46606136
 0.52056063]"
20,,,cookie_2x2,,72.0788888039533,pairwise,sketch,15.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,2.407488707954733e-13,41.41033500316553,"[0.12797413 0.0037014  0.0037014  0.00370141 0.00370141 0.00370141
 0.00370141 0.00370141 0.00370141 0.00370141 0.00370141 0.00370141
 0.00370141 0.00370141 0.00370141 0.00370141 0.00370141 0.00370141
 0.00370141]","[1.21863429e-03 4.63143166e-05 4.63146444e-05 4.63146497e-05
 4.63146515e-05 4.63146497e-05 4.63146497e-05 4.63146461e-05
 4.63146444e-05 4.63146479e-05 4.63146444e-05 4.63146515e-05
 4.63146515e-05 4.63146515e-05 4.63146373e-05 4.63146497e-05
 4.63146550e-05 4.63146532e-05 4.63146568e-05]","[0.02708917 0.02870625 0.04360366 0.06409132 0.08174804 0.11049552
 0.13535494 0.19634709 0.17252706 0.19515512 0.22330472 0.2760867
 0.29146686 0.32494082 0.37118056 0.43955017 0.46843437 0.47922497
 0.53250316]"
21,,,cookie_2x2,,177.37680724915117,pairwise,sketch,20.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,6.793456194098932e-14,133.8814454083331,"[0.12228095 0.01382421 0.00099624 0.0009969  0.0009969  0.00099689
 0.00099689 0.00099689 0.00099689 0.0009969  0.0009969  0.0009969
 0.00099689 0.00099689 0.00099689 0.00099689 0.00099689 0.00099689
 0.00099689]","[1.17733447e-03 1.44305977e-04 1.28815312e-05 1.28795561e-05
 1.28794031e-05 1.28793394e-05 1.28793585e-05 1.28793585e-05
 1.28793713e-05 1.28793585e-05 1.28793713e-05 1.28793267e-05
 1.28793267e-05 1.28794031e-05 1.28793585e-05 1.28793840e-05
 1.28793904e-05 1.28793713e-05 1.28793713e-05]","[0.01567089 0.05206378 0.04777503 0.06577224 0.08698374 0.11680212
 0.14470866 0.15965031 0.20849587 0.20445455 0.23248619 0.2640756
 0.30732323 0.36997685 0.42736666 0.45300859 0.48699504 0.50218499
 0.54871172]"
22,,,cookie_2x2,,355.6049945738632,pairwise,sketch,25.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,4.8225634091539814e-14,289.8890011270996,"[0.16909482 0.0096457  0.00269626 0.00034264 0.00036911 0.00036909
 0.00036911 0.00036911 0.00036909 0.00036912 0.00036911 0.00036911
 0.00036911 0.00036911 0.00036911 0.00036912 0.00036911 0.00036911
 0.00036911]","[1.80569223e-03 9.98213863e-05 2.14575241e-05 5.28035697e-06
 5.15936174e-06 5.15918677e-06 5.15923449e-06 5.15912314e-06
 5.15866182e-06 5.15939355e-06 5.15921858e-06 5.15918677e-06
 5.15928221e-06 5.15925039e-06 5.15923449e-06 5.15944127e-06
 5.15921858e-06 5.15920267e-06 5.15912314e-06]","[0.02824795 0.03971867 0.04968416 0.0702095  0.08403555 0.11389674
 0.18042149 0.16019523 0.22283842 0.20031053 0.22698301 0.2617603
 0.29549282 0.36089332 0.37657987 0.43141661 0.45513074 0.48493569
 0.53338126]"
23,,,cookie_2x2,,608.8641335559078,pairwise,sketch,30.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,4.605956723085003e-14,511.7148661368992,"[0.09923007 0.00890811 0.00236495 0.00031749 0.00024928 0.00015088
 0.00015118 0.00015107 0.00015108 0.00015101 0.00015107 0.00015106
 0.00015107 0.00015106 0.00015107 0.00015106 0.00015112 0.00015106
 0.00015106]","[9.85141507e-04 7.80677589e-05 1.79535880e-05 3.29324800e-06
 2.47262998e-06 2.07318886e-06 2.07219901e-06 2.07303051e-06
 2.07291175e-06 2.07303051e-06 2.07342635e-06 2.07279297e-06
 2.07307010e-06 2.07291175e-06 2.07318886e-06 2.07299092e-06
 2.07307010e-06 2.07314927e-06 2.07310969e-06]","[0.02874089 0.03049007 0.05001873 0.07307322 0.11269984 0.11778981
 0.18545745 0.20345162 0.1961438  0.2378996  0.27885253 0.31384462
 0.3003951  0.37363062 0.41721578 0.41082752 0.47668652 0.49023795
 0.58293828]"
24,,,cookie_2x2,,964.4307763460092,pairwise,sketch,35.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,4.4062946882510095e-14,823.5243262397125,"[1.11980974e-01 1.37404854e-02 2.56822978e-03 2.14183330e-04
 1.28710082e-04 1.43738964e-04 6.12921237e-05 6.33365786e-05
 6.33069386e-05 6.32020533e-05 6.33979546e-05 6.33687921e-05
 6.31827875e-05 6.32864892e-05 6.32753942e-05 6.31504522e-05
 6.34671621e-05 6.32314297e-05 6.32533264e-05]","[1.10728759e-03 1.88088705e-04 2.34778185e-05 1.90773485e-06
 1.22085147e-06 1.74427805e-06 6.95836169e-07 6.92644515e-07
 6.94419467e-07 6.93236671e-07 6.94537636e-07 6.92644515e-07
 6.92999869e-07 6.93118280e-07 6.93946591e-07 6.92526023e-07
 6.93473391e-07 6.93473391e-07 6.93473391e-07]","[0.05328349 0.04382708 0.05443579 0.07389568 0.09123805 0.15481025
 0.14814911 0.20646109 0.23030558 0.25243669 0.23547941 0.30858494
 0.30141783 0.3574939  0.38798102 0.43679156 0.48479565 0.49911369
 0.53992336]"
