,Unnamed: 0.1,Unnamed: 0,name,error,time_taken,left_rank,right_rank,run,rank
101,101.0,101.0,OTTS,0.6919105476019224,0.0066291270777583,4.0,8.0,11.0,
102,102.0,102.0,OTTS,0.4840999027124116,0.0071576368063688,4.0,8.0,12.0,
103,103.0,103.0,OTTS,0.6533839412478197,0.0229387646540999,4.0,8.0,13.0,
104,104.0,104.0,OTTS,0.5712256384218563,0.0105055114254355,4.0,8.0,14.0,
105,105.0,105.0,OTTS,0.596219627751184,0.0088111739605665,4.0,8.0,15.0,
106,106.0,106.0,OTTS,0.6298957393324428,0.0095808692276477,4.0,8.0,16.0,
107,107.0,107.0,OTTS,0.6674337160067262,0.0147668961435556,4.0,8.0,17.0,
108,108.0,108.0,OTTS,0.5456591566116422,0.0074135502800345,4.0,8.0,18.0,
109,109.0,109.0,OTTS,0.4643099838499259,0.0086716590449213,4.0,8.0,19.0,
110,110.0,110.0,OTTS,0.6454340315498112,0.0100967353209853,4.0,8.0,20.0,
111,111.0,111.0,OTTS,0.5742277916984048,0.0213162805885076,4.0,8.0,21.0,
112,112.0,112.0,OTTS,0.5086981518466912,0.0089200222864747,4.0,8.0,22.0,
113,113.0,113.0,OTTS,0.6114176270065023,0.0193003844469785,4.0,8.0,23.0,
114,114.0,114.0,OTTS,0.4767433028200565,0.0175166828557848,4.0,8.0,24.0,
115,115.0,115.0,OTTS,0.5912264386927396,0.0101100336760282,4.0,8.0,25.0,
116,116.0,116.0,OTTS,0.4963821188858096,0.0112177664414048,4.0,8.0,26.0,
117,117.0,117.0,OTTS,0.5775651421336011,0.0196819938719272,4.0,8.0,27.0,
118,118.0,118.0,OTTS,0.7491235681174173,0.0249715652316808,4.0,8.0,28.0,
119,119.0,119.0,OTTS,0.6152107002829745,0.0113665172830224,4.0,8.0,29.0,
120,120.0,120.0,OTTS,0.0243054016941846,0.0072442647069692,5.0,10.0,0.0,
121,121.0,121.0,OTTS,0.0377733046016944,0.0085116140544414,5.0,10.0,1.0,
122,122.0,122.0,OTTS,0.0243456220921242,0.0467068562284112,5.0,10.0,2.0,
123,123.0,123.0,OTTS,0.0268340573778751,0.0117728440091013,5.0,10.0,3.0,
124,124.0,124.0,OTTS,0.0270490071701081,0.0076659312471747,5.0,10.0,4.0,
125,125.0,125.0,OTTS,0.0278060615170894,0.0231678923591971,5.0,10.0,5.0,
126,126.0,126.0,OTTS,0.1138389472304526,0.0102806352078914,5.0,10.0,6.0,
127,127.0,127.0,OTTS,0.035641634765604,0.0075496872887015,5.0,10.0,7.0,
128,128.0,128.0,OTTS,0.0262181019160331,0.0067093363031744,5.0,10.0,8.0,
129,129.0,129.0,OTTS,0.0271373229632946,0.0081538157537579,5.0,10.0,9.0,
130,130.0,130.0,OTTS,0.0224066572566148,0.0074616000056266,5.0,10.0,10.0,
131,131.0,131.0,OTTS,0.0216692690289955,0.0113074984401464,5.0,10.0,11.0,
132,132.0,132.0,OTTS,0.0210772617193247,0.0312845157459378,5.0,10.0,12.0,
133,133.0,133.0,OTTS,0.042046287731992,0.008448458276689,5.0,10.0,13.0,
134,134.0,134.0,OTTS,0.0269577385428747,0.0098797054961323,5.0,10.0,14.0,
135,135.0,135.0,OTTS,0.0248955615572188,0.0076991664245724,5.0,10.0,15.0,
136,136.0,136.0,OTTS,0.0313606202289786,0.008497922681272,5.0,10.0,16.0,
137,137.0,137.0,OTTS,0.0214832784685432,0.0075772618874907,5.0,10.0,17.0,
138,138.0,138.0,OTTS,0.0244528357170667,0.0073506264016032,5.0,10.0,18.0,
139,139.0,139.0,OTTS,0.108604289488597,0.0139419324696064,5.0,10.0,19.0,
140,140.0,140.0,OTTS,0.0243047964075661,0.017438156530261,5.0,10.0,20.0,
141,141.0,141.0,OTTS,0.0411324070063735,0.010303302668035,5.0,10.0,21.0,
142,142.0,142.0,OTTS,0.0216516920912906,0.0071715880185365,5.0,10.0,22.0,
143,143.0,143.0,OTTS,0.0319453381462257,0.0071502393111586,5.0,10.0,23.0,
144,144.0,144.0,OTTS,0.0356703054943925,0.0083605330437421,5.0,10.0,24.0,
145,145.0,145.0,OTTS,0.0264515313648293,0.0072627393528819,5.0,10.0,25.0,
146,146.0,146.0,OTTS,0.0280160725111096,0.0072315279394388,5.0,10.0,26.0,
147,147.0,147.0,OTTS,0.0199437158462989,0.0222372701391577,5.0,10.0,27.0,
