,Unnamed: 0,name,error,time_taken,left_rank,right_rank,run,rank
92,92.0,OTTS,0.00028855528391,0.1317716492339968,5.0,10.0,12.0,
93,93.0,OTTS,0.000377188826652,0.0568541027605533,5.0,10.0,13.0,
94,94.0,OTTS,0.000847377260765,0.0835593761876225,5.0,10.0,14.0,
95,95.0,OTTS,0.0002092610452104,0.0558500168845057,5.0,10.0,15.0,
96,96.0,OTTS,0.0003238882104245,0.0534447934478521,5.0,10.0,16.0,
97,97.0,OTTS,0.0002035337612092,0.0867189364507794,5.0,10.0,17.0,
98,98.0,OTTS,0.0007414945152179,0.0662212520837783,5.0,10.0,18.0,
99,99.0,OTTS,0.0002455984441589,0.0556073831394314,5.0,10.0,19.0,
100,100.0,OTTS,0.0001248092721752,0.0693188421428203,6.0,12.0,0.0,
101,101.0,OTTS,0.0001442155453212,0.0647576879709959,6.0,12.0,1.0,
102,102.0,OTTS,0.0001742263775189,0.0627201534807682,6.0,12.0,2.0,
103,103.0,OTTS,0.0001554688656383,0.0649370308965444,6.0,12.0,3.0,
104,104.0,OTTS,0.0001163279277611,0.0605506692081689,6.0,12.0,4.0,
105,105.0,OTTS,0.0001963678614336,0.0820519048720598,6.0,12.0,5.0,
106,106.0,OTTS,0.0001571186273181,0.0690832249820232,6.0,12.0,6.0,
107,107.0,OTTS,0.0001167094764156,0.1354472367092967,6.0,12.0,7.0,
108,108.0,OTTS,0.0001604624027586,0.059209082275629,6.0,12.0,8.0,
109,109.0,OTTS,0.0001337523180573,0.1009625419974327,6.0,12.0,9.0,
110,110.0,OTTS,0.0001835672983377,0.0599232949316501,6.0,12.0,10.0,
111,111.0,OTTS,0.0001611451824709,0.0667562782764434,6.0,12.0,11.0,
112,112.0,OTTS,0.0002475391215341,0.0602509435266256,6.0,12.0,12.0,
113,113.0,OTTS,0.0002666960319833,0.0609681298956275,6.0,12.0,13.0,
114,114.0,OTTS,0.0001245802138838,0.0719174752011895,6.0,12.0,14.0,
115,115.0,OTTS,0.0001195301252746,0.0613493528217077,6.0,12.0,15.0,
116,116.0,OTTS,0.0001359265523136,0.0613821595907211,6.0,12.0,16.0,
117,117.0,OTTS,0.0001776780411086,0.0831815619021654,6.0,12.0,17.0,
118,118.0,OTTS,0.0001436615244005,0.0850651571527123,6.0,12.0,18.0,
119,119.0,OTTS,0.0001100295556372,0.0726777920499444,6.0,12.0,19.0,
120,120.0,OTTS,6.258337670925019e-05,0.0837820768356323,7.0,14.0,0.0,
121,121.0,OTTS,5.9590782571311854e-05,0.0832376396283507,7.0,14.0,1.0,
122,122.0,OTTS,9.663545681205354e-05,0.088157283142209,7.0,14.0,2.0,
