,name,error,time_taken,left_rank,right_rank,tensor_rank,sketch_rank,run,error_func,rank
76,STTAx2,4.613665953530823e-08,0.9151374720968306,85.0,170.0,100.0,85.0,3.0,tt_error_func,
77,STTAx2,1.5488280868985996e-08,1.0249628850724548,90.0,180.0,100.0,90.0,3.0,tt_error_func,
78,STTAx2,5.700528836929315e-09,1.2046084781177342,95.0,190.0,100.0,95.0,3.0,tt_error_func,
79,STTAx2,9.575154830104366e-12,1.12797292903997,100.0,200.0,100.0,100.0,3.0,tt_error_func,
80,STTAx2,1.4009125439832353,0.37226312793791294,5.0,10.0,100.0,5.0,4.0,tt_error_func,
81,STTAx2,0.721633005782135,0.4271629839204252,10.0,20.0,100.0,10.0,4.0,tt_error_func,
82,STTAx2,0.3234723490843514,0.4204650679603219,15.0,30.0,100.0,15.0,4.0,tt_error_func,
83,STTAx2,0.12077969839273296,0.5294333891943097,20.0,40.0,100.0,20.0,4.0,tt_error_func,
84,STTAx2,0.035859244627654614,0.5601451620459557,25.0,50.0,100.0,25.0,4.0,tt_error_func,
85,STTAx2,0.013428866971097604,0.5790953328832984,30.0,60.0,100.0,30.0,4.0,tt_error_func,
86,STTAx2,0.004147177154797515,0.6866146589163691,35.0,70.0,100.0,35.0,4.0,tt_error_func,
87,STTAx2,0.0014667154272229655,0.548993726959452,40.0,80.0,100.0,40.0,4.0,tt_error_func,
88,STTAx2,0.00048212263513769285,0.7305360219907016,45.0,90.0,100.0,45.0,4.0,tt_error_func,
89,STTAx2,0.000123848963857422,0.6471275868825614,50.0,100.0,100.0,50.0,4.0,tt_error_func,
90,STTAx2,4.808947674234776e-05,0.7097130150068551,55.0,110.0,100.0,55.0,4.0,tt_error_func,
91,STTAx2,1.571187731870481e-05,0.6850739060901105,60.0,120.0,100.0,60.0,4.0,tt_error_func,
92,STTAx2,5.421891545781242e-06,0.8421235159039497,65.0,130.0,100.0,65.0,4.0,tt_error_func,
93,STTAx2,1.4258549430874256e-06,0.9923647579271346,70.0,140.0,100.0,70.0,4.0,tt_error_func,
94,STTAx2,5.844422829318353e-07,0.9872349081560969,75.0,150.0,100.0,75.0,4.0,tt_error_func,
95,STTAx2,1.4560964180878312e-07,0.9217003469821066,80.0,160.0,100.0,80.0,4.0,tt_error_func,
96,STTAx2,4.0371971812119606e-08,1.0989540319424123,85.0,170.0,100.0,85.0,4.0,tt_error_func,
97,STTAx2,1.760408129157319e-08,1.1197198890149593,90.0,180.0,100.0,90.0,4.0,tt_error_func,
98,STTAx2,4.312745965314752e-09,1.2533893010113388,95.0,190.0,100.0,95.0,4.0,tt_error_func,
99,STTAx2,2.3200152421604678e-12,1.253582527860999,100.0,200.0,100.0,100.0,4.0,tt_error_func,
100,STTAx2,2.8764702149663637,0.3546395469456911,5.0,10.0,100.0,5.0,5.0,tt_error_func,
101,STTAx2,0.8281088032758547,0.450351492036134,10.0,20.0,100.0,10.0,5.0,tt_error_func,
102,STTAx2,0.3362814134221708,0.488949605030939,15.0,30.0,100.0,15.0,5.0,tt_error_func,
103,STTAx2,0.11178313503920051,0.4483233508653939,20.0,40.0,100.0,20.0,5.0,tt_error_func,
104,STTAx2,0.04558827795089165,0.49711227510124445,25.0,50.0,100.0,25.0,5.0,tt_error_func,
105,STTAx2,0.01425007841771953,0.5472358658444136,30.0,60.0,100.0,30.0,5.0,tt_error_func,
106,STTAx2,0.003993780792905091,0.5280777930747718,35.0,70.0,100.0,35.0,5.0,tt_error_func,
107,STTAx2,0.0014348602689639033,0.6588640548288822,40.0,80.0,100.0,40.0,5.0,tt_error_func,
108,STTAx2,0.0005180557950812873,0.6926896010991186,45.0,90.0,100.0,45.0,5.0,tt_error_func,
109,STTAx2,0.00015600575621634076,0.8534428651910275,50.0,100.0,100.0,50.0,5.0,tt_error_func,
110,STTAx2,5.11322081138702e-05,0.8092264360748231,55.0,110.0,100.0,55.0,5.0,tt_error_func,
111,STTAx2,1.362968937839039e-05,0.7898668251000345,60.0,120.0,100.0,60.0,5.0,tt_error_func,
112,STTAx2,4.6149049998080174e-06,0.864149620058015,65.0,130.0,100.0,65.0,5.0,tt_error_func,
113,STTAx2,1.3702216983674014e-06,0.8040359590668231,70.0,140.0,100.0,70.0,5.0,tt_error_func,
114,STTAx2,4.559651250982425e-07,1.0237888570409268,75.0,150.0,100.0,75.0,5.0,tt_error_func,
115,STTAx2,1.2831621263109595e-07,1.0087745420169085,80.0,160.0,100.0,80.0,5.0,tt_error_func,
116,STTAx2,3.943080618666865e-08,1.0450288800057024,85.0,170.0,100.0,85.0,5.0,tt_error_func,
117,STTAx2,1.5688017447984066e-08,1.1093584368936718,90.0,180.0,100.0,90.0,5.0,tt_error_func,
118,STTAx2,4.084978613520117e-09,1.06632075808011,95.0,190.0,100.0,95.0,5.0,tt_error_func,
119,STTAx2,2.483379008196957e-12,1.1658817729912698,100.0,200.0,100.0,100.0,5.0,tt_error_func,
