,name,error,time_taken,left_rank,right_rank,run,rank
126,STTA,0.0058879868325197055,0.04359070400096243,10.0,14.0,26.0,
127,STTA,0.0036612863564033323,0.04724774799979059,10.0,14.0,27.0,
128,STTA,0.009572364345979143,0.04966591800257447,10.0,14.0,28.0,
129,STTA,0.0065895180624316,0.047812408996833256,10.0,14.0,29.0,
130,STTA,0.007425677266643705,0.04668345499885618,10.0,14.0,30.0,
131,STTA,0.006231079730304656,0.04659703500146861,10.0,14.0,31.0,
132,STTA,0.002424346938404097,0.04482211799768265,10.0,14.0,32.0,
133,STTA,0.007054190994425355,0.042376759000035236,10.0,14.0,33.0,
134,STTA,0.008251482233028264,0.048071780998725444,10.0,14.0,34.0,
135,STTA,0.006063240729929386,0.04675487500207964,10.0,14.0,35.0,
136,STTA,0.005410219527300938,0.047962789998564404,10.0,14.0,36.0,
137,STTA,0.003210461737784576,0.047423367999726906,10.0,14.0,37.0,
138,STTA,0.02089439987611107,0.05000990900225588,10.0,14.0,38.0,
139,STTA,0.0027125994670365505,0.04390079499717103,10.0,14.0,39.0,
140,STTA,0.00770728980844839,0.04644771499806666,10.0,14.0,40.0,
141,STTA,0.007280468574077628,0.05318218100001104,10.0,14.0,41.0,
142,STTA,0.0054514591090138375,0.049709920000168495,10.0,14.0,42.0,
143,STTA,0.011059823828423049,0.048748712997621624,10.0,14.0,43.0,
144,STTA,0.00629660617505609,0.04707946800044738,10.0,14.0,44.0,
145,STTA,0.0044516505540664105,0.04887862400209997,10.0,14.0,45.0,
146,STTA,0.005819361078943979,0.04733875000238186,10.0,14.0,46.0,
147,STTA,0.005083191861146479,0.0452735799990478,10.0,14.0,47.0,
148,STTA,0.005553041145397946,0.044174415997986216,10.0,14.0,48.0,
149,STTA,0.0021368791922919553,0.05301087300176732,10.0,14.0,49.0,
150,STTA,0.0036920315541359083,0.04498090999913984,10.0,14.0,50.0,
151,STTA,0.007043275627351321,0.046468746000755345,10.0,14.0,51.0,
152,STTA,0.003766950546629937,0.04793852199873072,10.0,14.0,52.0,
153,STTA,0.005722865348091714,0.05968537800072227,10.0,14.0,53.0,
154,STTA,0.007628558164387329,0.052954671999032144,10.0,14.0,54.0,
155,STTA,0.0018651832077589165,0.05109104399889475,10.0,14.0,55.0,
156,STTA,0.0030011113534174944,0.06032525000046007,10.0,14.0,56.0,
157,STTA,0.008539354430239033,0.048521715001697885,10.0,14.0,57.0,
158,STTA,0.012429196535816027,0.047991781000746414,10.0,14.0,58.0,
159,STTA,0.0035016139833089527,0.04806015199937974,10.0,14.0,59.0,
160,STTA,0.006254318062152092,0.04993892999846139,10.0,14.0,60.0,
161,STTA,0.008476557953160324,0.05931293799949344,10.0,14.0,61.0,
162,STTA,0.003363571709321432,0.05057726200175239,10.0,14.0,62.0,
163,STTA,0.002476832170158874,0.05840310399798909,10.0,14.0,63.0,
164,STTA,0.00356403135742314,0.049318248999043135,10.0,14.0,64.0,
165,STTA,0.0031745759343603953,0.04829089300255873,10.0,14.0,65.0,
166,STTA,0.0021121059562184434,0.04762254199886229,10.0,14.0,66.0,
167,STTA,0.0025875158389761918,0.043688285000826,10.0,14.0,67.0,
168,STTA,0.002571028067511494,0.04433290800079703,10.0,14.0,68.0,
169,STTA,0.005231045118276817,0.04359173400007421,10.0,14.0,69.0,
170,STTA,0.002707217622436697,0.04372528599924408,10.0,14.0,70.0,
171,STTA,0.010768091569313002,0.043710255002224585,10.0,14.0,71.0,
172,STTA,0.005203146961406689,0.0433999449996918,10.0,14.0,72.0,
173,STTA,0.008349657062403908,0.0459161140024662,10.0,14.0,73.0,
174,STTA,0.009247325355243658,0.045432712002366316,10.0,14.0,74.0,
175,STTA,0.00303688773597467,0.04375829499986139,10.0,14.0,75.0,
176,STTA,0.0022587466645951253,0.04409338800178375,10.0,14.0,76.0,
177,STTA,0.002685488991745689,0.044099907001509564,10.0,14.0,77.0,
178,STTA,0.002505435290863611,0.044680989001790294,10.0,14.0,78.0,
179,STTA,0.003559318851772204,0.0518198379977548,10.0,14.0,79.0,
180,STTA,0.004724100777776059,0.04634022499885759,10.0,14.0,80.0,
181,STTA,0.0025488672033715225,0.04256222099866136,10.0,14.0,81.0,
182,STTA,0.002326147118661028,0.060072101001424016,10.0,14.0,82.0,
